                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    210,                 1.1615,                0.68791,                0.94512,                0.77337,                0.65732,                0.73366,                0.42704,                 1.1475,                0.71964,                 1.0901,              0.0079309,              0.0079309,              0.0079309
                    211,                 1.1434,                0.63488,                0.90514,                 0.7817,                0.65168,                0.73047,                0.41805,                  1.165,                0.70193,                 1.0923,               0.007921,               0.007921,               0.007921
                    212,                 1.1734,                0.69576,                0.95182,                0.78432,                0.64959,                0.73202,                0.42672,                 1.1617,                0.71828,                 1.0933,              0.0079111,              0.0079111,              0.0079111
                    213,                 1.0565,                0.61616,                0.91948,                0.77687,                0.65184,                0.73078,                0.42945,                 1.1655,                 0.7255,                 1.0896,              0.0079012,              0.0079012,              0.0079012
                    214,                 1.1498,                0.64711,                0.91507,                0.77206,                0.64427,                0.72567,                0.42217,                 1.1661,                  0.721,                 1.1024,              0.0078913,              0.0078913,              0.0078913
                    215,                 1.1334,                 0.6219,                0.89104,                0.79544,                0.64387,                0.73198,                0.42028,                 1.1894,                0.71568,                 1.1078,              0.0078814,              0.0078814,              0.0078814
                    216,                 1.1422,                 0.6472,                0.89865,                 0.7888,                0.64873,                0.70836,                0.40941,                 1.1723,                 1.0279,                 1.1069,              0.0078715,              0.0078715,              0.0078715
                    217,                 1.1155,                0.64861,                0.90487,                 0.7837,                0.64462,                0.71459,                0.41641,                 1.1649,                0.97101,                 1.1082,              0.0078616,              0.0078616,              0.0078616
                    218,                 1.1374,                0.64836,                0.89588,                0.78034,                0.64013,                0.72814,                0.42568,                  1.167,                 0.7388,                  1.119,              0.0078517,              0.0078517,              0.0078517
                    219,                 1.0497,                0.60699,                0.93258,                0.78059,                0.64013,                0.73074,                0.42732,                 1.1443,                0.75041,                 1.1134,              0.0078418,              0.0078418,              0.0078418
                    220,                 1.0326,                0.59352,                0.88225,                0.76157,                0.66181,                0.73142,                0.42514,                 1.1469,                0.73351,                 1.1046,              0.0078319,              0.0078319,              0.0078319
                    221,                 1.1429,                0.69227,                 0.9077,                0.75975,                0.65508,                0.72938,                0.42555,                 1.1479,                0.75517,                 1.0919,               0.007822,               0.007822,               0.007822
                    222,                 1.1758,                0.68218,                0.93114,                0.77302,                0.63632,                 0.7163,                0.41477,                 1.1561,                0.72985,                 1.0924,              0.0078121,              0.0078121,              0.0078121
                    223,                0.94773,                0.57291,                0.84236,                0.76365,                 0.6293,                0.71299,                 0.4062,                 1.1704,                0.71565,                 1.0808,              0.0078022,              0.0078022,              0.0078022
                    224,                 1.0344,                0.60092,                0.94433,                0.76705,                0.64649,                0.72429,                0.42157,                 1.1509,                0.70631,                 1.0897,              0.0077923,              0.0077923,              0.0077923
                    225,                 1.1011,                0.63961,                0.92993,                0.76005,                0.64088,                0.71277,                0.40632,                 1.1796,                0.73612,                 1.0977,              0.0077824,              0.0077824,              0.0077824
                    226,                 1.1314,                0.64126,                0.94468,                0.77487,                0.63303,                0.72114,                0.41913,                 1.1683,                0.73912,                 1.1026,              0.0077725,              0.0077725,              0.0077725
                    227,                 1.0519,                0.60871,                0.88859,                0.76647,                0.63654,                0.72135,                0.41983,                 1.1495,                0.73136,                 1.0982,              0.0077626,              0.0077626,              0.0077626
                    228,                 1.2217,                0.69259,                0.91918,                0.74728,                0.65546,                 0.7279,                0.42923,                  1.149,                0.73578,                  1.091,              0.0077527,              0.0077527,              0.0077527
                    229,                 1.0674,                0.60772,                0.88404,                0.77992,                0.64425,                 0.7261,                0.41628,                 1.1667,                0.80262,                 1.0899,              0.0077428,              0.0077428,              0.0077428
                    230,                 1.1151,                0.69088,                0.94949,                0.77718,                0.64779,                0.73797,                0.43037,                 1.1476,                0.74157,                 1.0789,              0.0077329,              0.0077329,              0.0077329
                    231,                 1.1152,                0.66458,                0.90491,                0.77928,                0.64723,                 0.7364,                0.43672,                 1.1292,                 0.7095,                 1.0746,               0.007723,               0.007723,               0.007723
                    232,                 1.0262,                0.59914,                0.83663,                0.75837,                0.64462,                0.72876,                0.42896,                  1.153,                0.70316,                  1.077,              0.0077131,              0.0077131,              0.0077131
